network_id,target_station,donor_station,gap_length,realized_mae,n_placements
chmi_zelivka,0-203-1-162520,0-203-1-161700,90,0.852117670190842,20
chmi_zelivka,0-203-1-162520,0-203-1-162000,90,0.8437338930801935,20
chmi_zelivka,0-203-1-162520,0-203-1-163300,90,1.0668473751511716,20
chmi_zelivka,0-203-1-163300,0-203-1-161400,90,0.5334360589886626,20
chmi_zelivka,0-203-1-163300,0-203-1-161700,90,0.5324992271189871,20
chmi_zelivka,0-203-1-163300,0-203-1-162000,90,0.534131068782868,20
chmi_zelivka,0-203-1-163300,0-203-1-162520,90,0.5356862076983588,20
nve_basin_16,16.207.0,16.212.0,90,1.4753367431720938,20
nve_basin_16,16.207.0,16.217.0,90,1.4363947287060341,20
nve_basin_16,16.207.0,16.222.0,90,1.4146628199813849,20
nve_basin_16,16.207.0,16.228.0,90,1.4723175460014217,20
nve_basin_16,16.207.0,16.453.0,90,1.475293187823967,20
nve_basin_16,16.207.0,16.454.0,90,1.4772942633705584,20
nve_basin_16,16.207.0,16.455.0,90,1.479556947490223,20
nve_basin_16,16.212.0,16.207.0,90,1.46011163641688,20
nve_basin_16,16.212.0,16.217.0,90,1.456499644457638,20
nve_basin_16,16.212.0,16.222.0,90,1.4452426366362754,20
nve_basin_16,16.212.0,16.228.0,90,1.4467499815430669,20
nve_basin_16,16.212.0,16.453.0,90,1.4525328370645147,20
nve_basin_16,16.212.0,16.454.0,90,1.452119252587641,20
nve_basin_16,16.212.0,16.455.0,90,1.4134076460511058,20
nve_basin_16,16.217.0,16.207.0,90,1.267770268363151,20
nve_basin_16,16.217.0,16.212.0,90,1.3582754767277838,20
nve_basin_16,16.217.0,16.222.0,90,1.2323057366189125,20
nve_basin_16,16.217.0,16.228.0,90,1.3577265523705018,20
nve_basin_16,16.217.0,16.453.0,90,1.3665310206260641,20
nve_basin_16,16.217.0,16.454.0,90,1.3654195232110644,20
nve_basin_16,16.217.0,16.455.0,90,1.3607779318027489,20
nve_basin_16,16.222.0,16.207.0,90,1.4734956490393913,20
nve_basin_16,16.222.0,16.212.0,90,1.540419978301555,20
nve_basin_16,16.222.0,16.217.0,90,1.4695074053520476,20
nve_basin_16,16.222.0,16.228.0,90,1.5091279475900055,20
nve_basin_16,16.222.0,16.453.0,90,1.5373015128643313,20
nve_basin_16,16.222.0,16.454.0,90,1.5460235983791664,20
nve_basin_16,16.222.0,16.455.0,90,1.521617984098819,20
nve_basin_16,16.228.0,16.207.0,90,1.298789475880071,20
nve_basin_16,16.228.0,16.212.0,90,1.2929682331028363,20
nve_basin_16,16.228.0,16.217.0,90,1.2903584388773248,20
nve_basin_16,16.228.0,16.222.0,90,1.2633542390987842,20
nve_basin_16,16.228.0,16.453.0,90,1.2925193894774494,20
nve_basin_16,16.228.0,16.454.0,90,1.2931754058409628,20
nve_basin_16,16.228.0,16.455.0,90,1.2570151317580236,20
nve_basin_16,16.453.0,16.207.0,90,1.5262289142083625,20
nve_basin_16,16.453.0,16.212.0,90,1.4378431699331675,20
nve_basin_16,16.453.0,16.217.0,90,1.5103258270439408,20
nve_basin_16,16.453.0,16.222.0,90,1.4431703294815892,20
nve_basin_16,16.453.0,16.228.0,90,1.42044331302883,20
nve_basin_16,16.453.0,16.454.0,90,0.710397711422399,20
nve_basin_16,16.453.0,16.455.0,90,0.9866800375516114,20
nve_basin_16,16.454.0,16.207.0,90,1.5463896928589704,20
nve_basin_16,16.454.0,16.212.0,90,1.5228568367495465,20
nve_basin_16,16.454.0,16.217.0,90,1.535671804478887,20
nve_basin_16,16.454.0,16.222.0,90,1.5180062598394812,20
nve_basin_16,16.454.0,16.228.0,90,1.5100255365450181,20
nve_basin_16,16.454.0,16.453.0,90,1.4370795266172212,20
nve_basin_16,16.454.0,16.455.0,90,1.2378582020020144,20
nve_basin_16,16.455.0,16.207.0,90,1.5758460331773976,20
nve_basin_16,16.455.0,16.212.0,90,1.4888856050910022,20
nve_basin_16,16.455.0,16.217.0,90,1.560458049179183,20
nve_basin_16,16.455.0,16.222.0,90,1.5198480802402332,20
nve_basin_16,16.455.0,16.228.0,90,1.4954256164574713,20
nve_basin_16,16.455.0,16.453.0,90,1.5062188271727444,20
nve_basin_16,16.455.0,16.454.0,90,1.4865142583357416,20
usgs2_huc2_12,08065350,08070200,90,1.5213231073222986,20
