network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_02070010,01649190,90,SON,1,2016-10-23,0.6384293807877435,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,SON,2,2016-10-29,0.6659929262267219,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,SON,3,2016-11-05,0.6692024763425191,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,SON,4,2016-11-11,0.6709952288203769,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,SON,5,2016-11-17,0.6693389182620579,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,SON,6,2016-11-24,0.657003866036733,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,SON,7,2016-11-30,0.6564587722884285,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,SON,8,2018-09-17,0.4690003119574653,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,90,SON,9,2018-09-24,0.4795042541291978,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,180,SON,0,2016-10-17,0.6259163138601516,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
